id,degree,grnprice,grnmoney
6,high school,very unwilling,"no, i have not"
7,bachelor's,neither willing nor unwilling,"no, i have not"
8,high school,fairly willing,"yes, i have"
9,graduate,fairly unwilling,"no, i have not"
13,less than high school,very unwilling,"no, i have not"
16,high school,fairly willing,"no, i have not"
17,graduate,fairly willing,"yes, i have"
23,graduate,fairly willing,"yes, i have"
25,bachelor's,fairly willing,"no, i have not"
28,associate/junior college,fairly willing,"yes, i have"
31,graduate,fairly willing,"no, i have not"
32,high school,fairly willing,"yes, i have"
36,graduate,fairly unwilling,"yes, i have"
37,bachelor's,neither willing nor unwilling,"no, i have not"
38,graduate,fairly willing,"no, i have not"
43,high school,fairly willing,"no, i have not"
46,bachelor's,fairly willing,"no, i have not"
51,bachelor's,fairly unwilling,"no, i have not"
54,graduate,fairly willing,"no, i have not"
60,bachelor's,fairly willing,"yes, i have"
62,bachelor's,neither willing nor unwilling,"no, i have not"
67,bachelor's,very unwilling,"no, i have not"
69,associate/junior college,neither willing nor unwilling,"yes, i have"
71,bachelor's,neither willing nor unwilling,"yes, i have"
77,bachelor's,fairly willing,"no, i have not"
79,high school,fairly willing,"no, i have not"
82,high school,fairly willing,"no, i have not"
83,high school,neither willing nor unwilling,"no, i have not"
84,graduate,very unwilling,"no, i have not"
88,bachelor's,fairly willing,"no, i have not"
92,bachelor's,neither willing nor unwilling,"no, i have not"
94,high school,fairly willing,"yes, i have"
95,bachelor's,fairly willing,"yes, i have"
96,high school,fairly unwilling,"no, i have not"
98,high school,very unwilling,"no, i have not"
99,associate/junior college,very unwilling,"no, i have not"
101,associate/junior college,fairly unwilling,"no, i have not"
102,graduate,fairly willing,"no, i have not"
104,bachelor's,fairly unwilling,"yes, i have"
107,graduate,very unwilling,"no, i have not"
108,associate/junior college,fairly willing,"yes, i have"
111,bachelor's,neither willing nor unwilling,"no, i have not"
114,associate/junior college,neither willing nor unwilling,"no, i have not"
117,graduate,fairly willing,"no, i have not"
118,graduate,fairly willing,"no, i have not"
120,bachelor's,fairly unwilling,"no, i have not"
121,graduate,fairly willing,"yes, i have"
123,graduate,fairly willing,"yes, i have"
124,bachelor's,fairly willing,"yes, i have"
128,high school,fairly unwilling,"no, i have not"
131,bachelor's,fairly willing,"yes, i have"
132,high school,fairly unwilling,"no, i have not"
135,bachelor's,fairly willing,"no, i have not"
138,high school,neither willing nor unwilling,"no, i have not"
142,bachelor's,fairly willing,"no, i have not"
143,graduate,fairly willing,"no, i have not"
144,graduate,neither willing nor unwilling,"no, i have not"
146,graduate,fairly willing,"yes, i have"
147,bachelor's,fairly willing,"yes, i have"
149,bachelor's,very willing,"yes, i have"
151,less than high school,fairly willing,"yes, i have"
153,associate/junior college,neither willing nor unwilling,"no, i have not"
155,graduate,fairly unwilling,"yes, i have"
158,graduate,fairly willing,"no, i have not"
159,high school,fairly willing,"no, i have not"
162,high school,neither willing nor unwilling,"yes, i have"
165,bachelor's,neither willing nor unwilling,"no, i have not"
166,graduate,fairly willing,"yes, i have"
168,high school,fairly unwilling,"no, i have not"
169,graduate,fairly willing,"yes, i have"
172,bachelor's,fairly willing,"yes, i have"
175,high school,very willing,"no, i have not"
176,bachelor's,very willing,"no, i have not"
181,bachelor's,fairly willing,"no, i have not"
184,high school,very unwilling,"no, i have not"
189,high school,very unwilling,"no, i have not"
192,high school,very unwilling,"no, i have not"
194,high school,fairly unwilling,"no, i have not"
202,high school,fairly willing,"yes, i have"
211,high school,fairly unwilling,"no, i have not"
214,high school,neither willing nor unwilling,"no, i have not"
215,bachelor's,fairly willing,"yes, i have"
216,less than high school,fairly willing,"no, i have not"
224,bachelor's,fairly willing,"no, i have not"
225,less than high school,fairly unwilling,"no, i have not"
226,associate/junior college,neither willing nor unwilling,"no, i have not"
230,high school,neither willing nor unwilling,"no, i have not"
231,graduate,fairly unwilling,"yes, i have"
232,high school,neither willing nor unwilling,"yes, i have"
235,high school,neither willing nor unwilling,"yes, i have"
236,graduate,fairly unwilling,"no, i have not"
239,graduate,fairly willing,"yes, i have"
242,bachelor's,fairly willing,"no, i have not"
244,bachelor's,neither willing nor unwilling,"yes, i have"
253,bachelor's,fairly willing,"no, i have not"
254,bachelor's,fairly willing,"yes, i have"
255,bachelor's,fairly unwilling,"no, i have not"
256,graduate,very unwilling,"no, i have not"
258,associate/junior college,fairly willing,"no, i have not"
259,graduate,very willing,"no, i have not"
261,high school,neither willing nor unwilling,"no, i have not"
265,bachelor's,fairly willing,"no, i have not"
266,high school,very unwilling,"no, i have not"
272,bachelor's,neither willing nor unwilling,"no, i have not"
273,associate/junior college,fairly willing,"no, i have not"
275,high school,neither willing nor unwilling,"yes, i have"
278,graduate,fairly unwilling,"no, i have not"
279,graduate,fairly unwilling,"no, i have not"
284,bachelor's,fairly willing,"no, i have not"
285,graduate,fairly unwilling,"no, i have not"
286,high school,neither willing nor unwilling,"no, i have not"
288,graduate,fairly willing,"yes, i have"
294,bachelor's,very unwilling,"no, i have not"
296,high school,very unwilling,"yes, i have"
298,associate/junior college,neither willing nor unwilling,"no, i have not"
303,bachelor's,very willing,"no, i have not"
305,graduate,neither willing nor unwilling,"no, i have not"
309,associate/junior college,neither willing nor unwilling,"no, i have not"
312,bachelor's,neither willing nor unwilling,"no, i have not"
313,high school,fairly unwilling,"yes, i have"
314,high school,fairly unwilling,"no, i have not"
317,high school,fairly unwilling,"no, i have not"
320,bachelor's,fairly willing,"yes, i have"
321,bachelor's,fairly willing,"no, i have not"
323,bachelor's,fairly willing,"no, i have not"
324,bachelor's,fairly willing,"no, i have not"
328,bachelor's,fairly willing,"no, i have not"
330,graduate,very willing,"yes, i have"
333,high school,fairly willing,"no, i have not"
335,associate/junior college,neither willing nor unwilling,"yes, i have"
336,bachelor's,very willing,"yes, i have"
337,high school,very unwilling,"no, i have not"
338,high school,fairly willing,"no, i have not"
340,graduate,neither willing nor unwilling,"no, i have not"
341,high school,neither willing nor unwilling,"no, i have not"
342,associate/junior college,fairly willing,"yes, i have"
343,high school,fairly willing,"no, i have not"
344,bachelor's,neither willing nor unwilling,"no, i have not"
346,high school,fairly willing,"no, i have not"
348,high school,very unwilling,"no, i have not"
350,high school,fairly unwilling,"no, i have not"
353,graduate,fairly willing,"no, i have not"
354,graduate,fairly unwilling,"no, i have not"
356,bachelor's,neither willing nor unwilling,"no, i have not"
357,graduate,fairly willing,"no, i have not"
359,high school,neither willing nor unwilling,"no, i have not"
361,high school,very unwilling,"no, i have not"
368,high school,very unwilling,"no, i have not"
369,bachelor's,neither willing nor unwilling,"no, i have not"
372,bachelor's,fairly unwilling,"yes, i have"
373,high school,fairly willing,"no, i have not"
375,bachelor's,neither willing nor unwilling,"no, i have not"
379,graduate,very unwilling,"no, i have not"
383,bachelor's,fairly willing,"no, i have not"
385,graduate,fairly unwilling,"no, i have not"
387,high school,fairly willing,"no, i have not"
389,graduate,fairly unwilling,"no, i have not"
391,graduate,neither willing nor unwilling,"no, i have not"
396,high school,neither willing nor unwilling,"no, i have not"
398,associate/junior college,fairly willing,"no, i have not"
399,less than high school,fairly willing,"no, i have not"
400,high school,very unwilling,"no, i have not"
405,graduate,fairly willing,"yes, i have"
409,associate/junior college,fairly unwilling,"no, i have not"
415,bachelor's,neither willing nor unwilling,"no, i have not"
418,graduate,fairly willing,"yes, i have"
422,graduate,fairly willing,"yes, i have"
423,less than high school,fairly unwilling,"no, i have not"
427,associate/junior college,neither willing nor unwilling,"no, i have not"
433,graduate,fairly unwilling,"no, i have not"
434,graduate,fairly willing,"yes, i have"
436,high school,very unwilling,"no, i have not"
437,high school,fairly unwilling,"yes, i have"
438,less than high school,neither willing nor unwilling,"no, i have not"
441,high school,very unwilling,"no, i have not"
444,high school,fairly willing,"yes, i have"
446,bachelor's,fairly willing,"yes, i have"
447,bachelor's,neither willing nor unwilling,"no, i have not"
448,bachelor's,very willing,"yes, i have"
449,bachelor's,very unwilling,"no, i have not"
452,high school,fairly unwilling,"no, i have not"
453,graduate,very unwilling,"no, i have not"
455,less than high school,neither willing nor unwilling,"no, i have not"
456,graduate,fairly willing,"no, i have not"
457,graduate,fairly willing,"no, i have not"
458,graduate,neither willing nor unwilling,"no, i have not"
460,bachelor's,neither willing nor unwilling,"no, i have not"
461,graduate,fairly willing,"yes, i have"
463,high school,neither willing nor unwilling,"no, i have not"
464,high school,neither willing nor unwilling,"no, i have not"
468,graduate,fairly willing,"no, i have not"
469,graduate,neither willing nor unwilling,"no, i have not"
470,less than high school,fairly willing,"no, i have not"
474,graduate,fairly unwilling,"no, i have not"
477,high school,neither willing nor unwilling,"no, i have not"
480,high school,neither willing nor unwilling,"no, i have not"
482,high school,fairly unwilling,"no, i have not"
484,graduate,fairly willing,"yes, i have"
486,associate/junior college,neither willing nor unwilling,"no, i have not"
487,less than high school,neither willing nor unwilling,"yes, i have"
488,high school,very willing,"yes, i have"
492,less than high school,fairly willing,"no, i have not"
494,associate/junior college,fairly willing,"no, i have not"
496,high school,fairly unwilling,"no, i have not"
501,associate/junior college,fairly willing,"no, i have not"
504,associate/junior college,fairly unwilling,"no, i have not"
505,graduate,fairly willing,"no, i have not"
507,high school,fairly unwilling,"no, i have not"
510,bachelor's,fairly willing,"yes, i have"
511,associate/junior college,fairly unwilling,"no, i have not"
513,associate/junior college,fairly unwilling,"no, i have not"
514,graduate,neither willing nor unwilling,"no, i have not"
515,bachelor's,neither willing nor unwilling,"yes, i have"
516,graduate,fairly unwilling,"no, i have not"
517,associate/junior college,fairly willing,"yes, i have"
518,graduate,very willing,"yes, i have"
523,less than high school,neither willing nor unwilling,"no, i have not"
525,high school,neither willing nor unwilling,"yes, i have"
526,associate/junior college,neither willing nor unwilling,"no, i have not"
528,graduate,fairly willing,"no, i have not"
529,bachelor's,fairly unwilling,"no, i have not"
530,high school,fairly unwilling,"yes, i have"
531,graduate,fairly willing,"yes, i have"
536,high school,neither willing nor unwilling,"no, i have not"
537,associate/junior college,fairly willing,"no, i have not"
539,high school,neither willing nor unwilling,"no, i have not"
540,high school,very unwilling,"no, i have not"
548,associate/junior college,neither willing nor unwilling,"no, i have not"
549,less than high school,fairly willing,"no, i have not"
552,high school,neither willing nor unwilling,"no, i have not"
553,bachelor's,neither willing nor unwilling,"yes, i have"
555,bachelor's,fairly willing,"no, i have not"
559,graduate,neither willing nor unwilling,"yes, i have"
560,high school,fairly willing,"no, i have not"
562,high school,neither willing nor unwilling,"no, i have not"
564,associate/junior college,fairly unwilling,"no, i have not"
572,high school,neither willing nor unwilling,"no, i have not"
577,associate/junior college,fairly willing,"no, i have not"
581,associate/junior college,very willing,"yes, i have"
582,associate/junior college,very unwilling,"no, i have not"
586,bachelor's,fairly unwilling,"no, i have not"
588,graduate,fairly willing,"no, i have not"
591,high school,neither willing nor unwilling,"no, i have not"
593,high school,neither willing nor unwilling,"no, i have not"
595,graduate,fairly unwilling,"no, i have not"
602,high school,fairly unwilling,"no, i have not"
604,less than high school,fairly willing,"no, i have not"
610,associate/junior college,very unwilling,"no, i have not"
611,bachelor's,neither willing nor unwilling,"yes, i have"
613,high school,neither willing nor unwilling,"no, i have not"
615,associate/junior college,fairly unwilling,"no, i have not"
616,high school,very unwilling,"no, i have not"
618,associate/junior college,fairly unwilling,"no, i have not"
619,associate/junior college,fairly willing,"yes, i have"
622,less than high school,fairly unwilling,"no, i have not"
625,bachelor's,fairly unwilling,"no, i have not"
626,high school,neither willing nor unwilling,"no, i have not"
630,associate/junior college,fairly unwilling,"no, i have not"
632,high school,fairly willing,"no, i have not"
635,high school,fairly unwilling,"no, i have not"
636,graduate,neither willing nor unwilling,"no, i have not"
641,graduate,fairly willing,"yes, i have"
648,high school,very unwilling,"no, i have not"
650,high school,very unwilling,"no, i have not"
652,high school,fairly willing,"no, i have not"
653,high school,fairly unwilling,"no, i have not"
657,graduate,very unwilling,"no, i have not"
660,bachelor's,neither willing nor unwilling,"no, i have not"
661,bachelor's,neither willing nor unwilling,"no, i have not"
666,graduate,fairly willing,"yes, i have"
669,high school,fairly willing,"no, i have not"
670,high school,neither willing nor unwilling,"no, i have not"
675,associate/junior college,fairly willing,"no, i have not"
676,high school,very unwilling,"no, i have not"
