id,degree
6,1
7,3
8,1
9,4
13,0
16,1
17,4
23,4
25,3
28,2
31,4
32,1
36,4
37,3
38,4
43,1
46,3
51,3
54,4
60,3
62,3
67,3
69,2
71,3
77,3
79,1
82,1
83,1
84,4
88,3
92,3
94,1
95,3
96,1
98,1
99,2
101,2
102,4
104,3
107,4
108,2
111,3
114,2
117,4
118,4
120,3
121,4
123,4
124,3
128,1
131,3
132,1
135,3
138,1
142,3
143,4
144,4
146,4
147,3
149,3
151,0
153,2
155,4
158,4
159,1
162,1
165,3
166,4
168,1
169,4
172,3
175,1
176,3
181,3
184,1
189,1
192,1
194,1
202,1
211,1
214,1
215,3
216,0
224,3
225,0
226,2
230,1
231,4
232,1
235,1
236,4
239,4
242,3
244,3
253,3
254,3
255,3
256,4
258,2
259,4
261,1
265,3
266,1
272,3
273,2
275,1
278,4
279,4
284,3
285,4
286,1
288,4
294,3
296,1
298,2
303,3
305,4
309,2
312,3
313,1
314,1
317,1
320,3
321,3
323,3
324,3
328,3
330,4
333,1
335,2
336,3
337,1
338,1
340,4
341,1
342,2
343,1
344,3
346,1
348,1
350,1
353,4
354,4
356,3
357,4
359,1
361,1
368,1
369,3
372,3
373,1
375,3
379,4
383,3
385,4
387,1
389,4
391,4
396,1
398,2
399,0
400,1
405,4
409,2
415,3
418,4
422,4
423,0
427,2
433,4
434,4
436,1
437,1
438,0
441,1
444,1
446,3
447,3
448,3
449,3
452,1
453,4
455,0
456,4
457,4
458,4
460,3
461,4
463,1
464,1
468,4
469,4
470,0
474,4
477,1
480,1
482,1
484,4
486,2
487,0
488,1
492,0
494,2
496,1
501,2
504,2
505,4
507,1
510,3
511,2
513,2
514,4
515,3
516,4
517,2
518,4
523,0
525,1
526,2
528,4
529,3
530,1
531,4
536,1
537,2
539,1
540,1
548,2
549,0
552,1
553,3
555,3
559,4
560,1
562,1
564,2
572,1
577,2
581,2
582,2
586,3
588,4
591,1
593,1
595,4
602,1
604,0
610,2
611,3
613,1
615,2
616,1
618,2
619,2
622,0
625,3
626,1
630,2
632,1
635,1
636,4
641,4
648,1
650,1
652,1
653,1
657,4
660,3
661,3
666,4
669,1
670,1
675,2
676,1
678,1
680,1
682,1
684,4
691,2
693,3
694,1
697,1
700,1
701,2
704,4
705,4
710,1
713,4
714,3
717,4
720,3
721,3
723,4
724,3
727,3
729,0
733,3
734,3
735,3
737,1
738,1
740,4
741,1
744,1
748,2
749,4
751,3
752,1
753,2
755,4
756,1
759,2
761,4
764,1
766,1
768,1
769,4
772,3
774,0
778,1
779,3
780,1
784,1
785,3
788,4
795,1
796,3
797,4
799,3
800,1
801,3
803,1
