id,grnmoney
6,No
7,No
8,Yes
9,No
13,No
16,No
17,Yes
23,Yes
25,No
28,Yes
31,No
32,Yes
36,Yes
37,No
38,No
43,No
46,No
51,No
54,No
60,Yes
62,No
67,No
69,Yes
71,Yes
77,No
79,No
82,No
83,No
84,No
88,No
92,No
94,Yes
95,Yes
96,No
98,No
99,No
101,No
102,No
104,Yes
107,No
108,Yes
111,No
114,No
117,No
118,No
120,No
121,Yes
123,Yes
124,Yes
128,No
131,Yes
132,No
135,No
138,No
142,No
143,No
144,No
146,Yes
147,Yes
149,Yes
151,Yes
153,No
155,Yes
158,No
159,No
162,Yes
165,No
166,Yes
168,No
169,Yes
172,Yes
175,No
176,No
181,No
184,No
189,No
192,No
194,No
202,Yes
211,No
214,No
215,Yes
216,No
224,No
225,No
226,No
230,No
231,Yes
232,Yes
235,Yes
236,No
239,Yes
242,No
244,Yes
253,No
254,Yes
255,No
256,No
258,No
259,No
261,No
265,No
266,No
272,No
273,No
275,Yes
278,No
279,No
284,No
285,No
286,No
288,Yes
294,No
296,Yes
298,No
303,No
305,No
309,No
312,No
313,Yes
314,No
317,No
320,Yes
321,No
323,No
324,No
328,No
330,Yes
333,No
335,Yes
336,Yes
337,No
338,No
340,No
341,No
342,Yes
343,No
344,No
346,No
348,No
350,No
353,No
354,No
356,No
357,No
359,No
361,No
368,No
369,No
372,Yes
373,No
375,No
379,No
383,No
385,No
387,No
389,No
391,No
396,No
398,No
399,No
400,No
405,Yes
409,No
415,No
418,Yes
422,Yes
423,No
427,No
433,No
434,Yes
436,No
437,Yes
438,No
441,No
444,Yes
446,Yes
447,No
448,Yes
449,No
452,No
453,No
455,No
456,No
457,No
458,No
460,No
461,Yes
463,No
464,No
468,No
469,No
470,No
474,No
477,No
480,No
482,No
484,Yes
486,No
487,Yes
488,Yes
492,No
494,No
496,No
501,No
504,No
505,No
507,No
510,Yes
511,No
513,No
514,No
515,Yes
516,No
517,Yes
518,Yes
523,No
525,Yes
526,No
528,No
529,No
530,Yes
531,Yes
536,No
537,No
539,No
540,No
548,No
549,No
552,No
553,Yes
555,No
559,Yes
560,No
562,No
564,No
572,No
577,No
581,Yes
582,No
586,No
588,No
591,No
593,No
595,No
602,No
604,No
610,No
611,Yes
613,No
615,No
616,No
618,No
619,Yes
622,No
625,No
626,No
630,No
632,No
635,No
636,No
641,Yes
648,No
650,No
652,No
653,No
657,No
660,No
661,No
666,Yes
669,No
670,No
675,No
676,No
678,No
680,No
682,No
684,No
691,Yes
693,No
694,No
697,No
700,No
701,No
704,No
705,Yes
710,No
713,No
714,No
717,No
720,Yes
721,No
723,Yes
724,Yes
727,No
729,No
733,No
734,No
735,No
737,No
738,No
740,Yes
741,No
744,No
748,Yes
749,No
751,Yes
752,Yes
753,No
755,Yes
756,No
759,No
761,Yes
764,Yes
766,Yes
768,Yes
769,Yes
772,No
774,Yes
778,Yes
779,No
780,Yes
784,No
785,No
788,Yes
795,No
796,Yes
797,No
799,No
800,No
801,No
803,No
804,Yes
805,No
806,No
808,No
812,No
814,No
815,No
819,No
821,Yes
823,No
824,No
825,No
827,No
828,No
831,No
832,No
833,No
838,No
839,No
842,Yes
843,No
849,No
850,No
853,Yes
855,No
858,No
859,No
860,Yes
861,No
862,No
863,No
866,No
871,No
873,Yes
874,No
880,Yes
881,Yes
882,Yes
884,No
892,No
895,No
896,No
898,No
902,No
904,Yes
905,No
906,No
911,No
914,No
916,No
919,Yes
920,Yes
921,No
924,No
926,No
931,No
932,No
934,No
939,Yes
941,No
944,Yes
946,No
947,Yes
953,Yes
954,Yes
955,No
960,No
964,No
969,No
977,No
982,No
986,No
988,No
991,No
992,No
993,Yes
995,Yes
998,No
999,No
1000,No
1007,No
1008,No
1011,No
1015,No
1018,No
1019,No
1023,Yes
1028,No
1029,No
1030,No
1039,Yes
1043,No
1044,Yes
1048,Yes
1049,No
1050,No
1052,Yes
1055,Yes
