id,grnprice
6,5
7,3
8,2
9,4
13,5
16,2
17,2
23,2
25,2
28,2
31,2
32,2
36,4
37,3
38,2
43,2
46,2
51,4
54,2
60,2
62,3
67,5
69,3
71,3
77,2
79,2
82,2
83,3
84,5
88,2
92,3
94,2
95,2
96,4
98,5
99,5
101,4
102,2
104,4
107,5
108,2
111,3
114,3
117,2
118,2
120,4
121,2
123,2
124,2
128,4
131,2
132,4
135,2
138,3
142,2
143,2
144,3
146,2
147,2
149,1
151,2
153,3
155,4
158,2
159,2
162,3
165,3
166,2
168,4
169,2
172,2
175,1
176,1
181,2
184,5
189,5
192,5
194,4
202,2
211,4
214,3
215,2
216,2
224,2
225,4
226,3
230,3
231,4
232,3
235,3
236,4
239,2
242,2
244,3
253,2
254,2
255,4
256,5
258,2
259,1
261,3
265,2
266,5
272,3
273,2
275,3
278,4
279,4
284,2
285,4
286,3
288,2
294,5
296,5
298,3
303,1
305,3
309,3
312,3
313,4
314,4
317,4
320,2
321,2
323,2
324,2
328,2
330,1
333,2
335,3
336,1
337,5
338,2
340,3
341,3
342,2
343,2
344,3
346,2
348,5
350,4
353,2
354,4
356,3
357,2
359,3
361,5
368,5
369,3
372,4
373,2
375,3
379,5
383,2
385,4
387,2
389,4
391,3
396,3
398,2
399,2
400,5
405,2
409,4
415,3
418,2
422,2
423,4
427,3
433,4
434,2
436,5
437,4
438,3
441,5
444,2
446,2
447,3
448,1
449,5
452,4
453,5
455,3
456,2
457,2
458,3
460,3
461,2
463,3
464,3
468,2
469,3
470,2
474,4
477,3
480,3
482,4
484,2
486,3
487,3
488,1
492,2
494,2
496,4
501,2
504,4
505,2
507,4
510,2
511,4
513,4
514,3
515,3
516,4
517,2
518,1
523,3
525,3
526,3
528,2
529,4
530,4
531,2
536,3
537,2
539,3
540,5
548,3
549,2
552,3
553,3
555,2
559,3
560,2
562,3
564,4
572,3
577,2
581,1
582,5
586,4
588,2
591,3
593,3
595,4
602,4
604,2
610,5
611,3
613,3
615,4
616,5
618,4
619,2
622,4
625,4
626,3
630,4
632,2
635,4
636,3
641,2
648,5
650,5
652,2
653,4
657,5
660,3
661,3
666,2
669,2
670,3
675,2
676,5
678,5
680,4
682,4
684,3
691,3
693,2
694,3
697,3
700,5
701,3
704,3
705,1
710,4
713,3
714,3
717,5
720,1
721,3
723,1
724,2
727,2
729,3
733,5
734,4
735,2
737,3
738,1
740,2
741,3
744,2
748,2
749,2
751,3
752,4
753,5
755,2
756,5
759,4
761,2
764,2
766,1
768,2
769,1
772,5
774,4
778,5
779,2
780,3
784,4
785,2
788,2
795,3
796,4
797,2
799,3
800,1
801,5
803,3
804,2
805,3
806,3
808,3
812,3
814,2
815,3
819,3
821,1
823,3
824,3
825,2
827,2
828,2
831,4
832,2
833,5
838,3
839,5
842,2
843,4
849,4
850,5
853,1
855,3
858,5
859,5
860,5
861,2
862,3
863,5
866,3
871,3
873,1
874,3
880,3
881,2
882,4
884,2
892,2
895,3
896,2
898,4
902,3
904,2
905,1
906,2
911,4
914,3
916,3
919,2
920,2
921,1
924,3
926,2
931,2
932,5
934,1
939,2
941,4
944,3
946,3
947,2
953,4
954,1
955,2
960,3
964,2
969,2
977,2
982,3
986,3
988,2
991,5
992,3
993,3
995,3
998,3
999,2
1000,4
1007,2
1008,5
1011,3
1015,5
1018,2
1019,1
1023,3
1028,1
1029,1
1030,2
1039,2
1043,2
1044,2
1048,2
1049,4
1050,5
1052,2
1055,2
1056,2
1057,2
1059,3
1061,2
1062,1
1065,2
1066,3
1068,2
1071,4
1072,3
1080,1
1081,4
1082,3
1085,4
1086,3
1087,3
1088,3
1090,3
1091,4
1093,2
1096,3
1100,2
1102,3
1106,5
1107,4
1108,3
1110,2
1115,2
1117,2
1122,1
1123,2
1128,2
1129,2
1130,2
1131,3
1134,2
1135,1
1136,2
1138,4
1140,2
1149,2
1150,2
1151,2
1152,2
1154,2
1158,1
1162,3
1163,3
1164,4
1165,2
1168,5
1169,4
1172,1
1176,4
1177,4
1178,2
1181,3
1183,3
1186,2
1188,2
1191,3
1192,3
1193,2
1195,2
1197,3
1199,1
1200,3
1201,2
1206,2
1207,4
1212,4
1215,2
1222,2
1224,3
1228,4
1230,3
1235,4
1236,1
1237,3
1238,3
1244,4
1245,5
1248,2
1250,4
1252,4
1253,3
1256,2
1259,1
1260,2
1261,2
1265,5
1268,2
1272,2
1273,2
1280,3
1283,3
1285,2
1287,1
1289,3
